"","Name","Author"
"1","Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling"
"2","The Name of the Wind (The Kingkiller Chronicle, #1)","Patrick Rothfuss"
"3","The Way of Kings (The Stormlight Archive, #1)","Brandon Sanderson"
"4","The Wise Man's Fear (The Kingkiller Chronicle, #2)","Patrick Rothfuss"
"5","Words of Radiance (The Stormlight Archive, #2)","Brandon Sanderson"
"6","Clockwork Princess (The Infernal Devices, #3)","Cassandra Clare"
"7","A Storm of Swords (A Song of Ice and Fire, #3)","George R.R. Martin"
"8","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling"
"9","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling"
"10","Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling"
"11","A Court of Mist and Fury (A Court of Thorns and Roses, #2)","Sarah J. Maas"
"12","The House of Hades (The Heroes of Olympus, #4)","Rick Riordan"
"13","Queen of Shadows (Throne of Glass, #4)","Sarah J. Maas"
"14","Crooked Kingdom (Six of Crows, #2)","Leigh Bardugo"
"15","The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury","Bill Watterson"
"16","The Nightingale","Kristin Hannah"
"17","Calvin and Hobbes (Calvin and Hobbes #1)","Bill Watterson"
"18","Empire of Storms (Throne of Glass, #5)","Sarah J. Maas"
"19","The Return of the King (The Lord of the Rings, #3)","J.R.R. Tolkien"
"20","Collected Fictions","Jorge Luis Borges"
"21","Oathbringer (The Stormlight Archive, #3)","Brandon Sanderson"
"22","A Story of Yesterday","Sergio Cobo"
"23","The Hate U Give (The Hate U Give, #1)","Angie Thomas"
"24","It's a Magical World (Calvin and Hobbes #11)","Bill Watterson"
"25","Holy Bible: New International Version","Anonymous"
"26","Something Under the Bed is Drooling (Calvin and Hobbes #2)","Bill Watterson"
"27","The Days Are Just Packed (Calvin and Hobbes #8)","Bill Watterson"
"28","Saga, Volume 2","Brian K. Vaughan"
"29","The Complete Maus","Art Spiegelman"
"30","The Last Olympian (Percy Jackson and the Olympians, #5)","Rick Riordan"
"31","Acheron (Dark-Hunter, #14)","Sherrilyn Kenyon"
"32","Ahead of All Parting: The Selected Poetry and Prose","Rainer Maria Rilke"
"33","Arcanum Unbounded: The Cosmere Collection","Brandon Sanderson"
"34","Toda Mafalda","Quino"
"35","Peanuts Treasury","Charles M. Schulz"
"36","The Constitution of the United States of America","Founding Fathers"
"37","Just Mercy: A Story of Justice and Redemption","Bryan Stevenson"
"38","Season of Mists (The Sandman, #4)","Neil Gaiman"
"39","Kingdom of Ash (Throne of Glass, #7)","Sarah J. Maas"
"40","The Civil War: A Narrative","Shelby Foote"
"41","The Indispensable Calvin and Hobbes","Bill Watterson"
